index,reactant_smiles
78,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O
79,CC(C)[C@@H](C=O)N(C)C(=O)OC(C)(C)C
80,C#CCNC(=O)CO[C@H]1O[C@H](COC(C)=O)C=C(OC(C)=O)C1=O
81,CO[C@@H]1C(=O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C1CCCC1
82,O=Cc1ccc(Oc2cnc(C(F)(F)F)nc2)cc1
83,O=Cc1c[nH]c2ncc(Br)cc12
84,COc1cc(C)cc(OC)c1C=O
85,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)Nc1ccccc1C(=O)O
86,[N-]=[N+]=Nc1ccccc1C(=O)N1CCC[C@H]1C=O
87,CCOC(=O)/C=C(C)/C=C/C=O
88,O=Cc1cc2c(o1)CC1CC2c2ccccc21
89,CCOC(=O)C1=C(NC(=O)C=P(c2ccccc2)(c2ccccc2)c2ccccc2)CCCC1
90,C/C=C(\C)C(OCCC(C)=O)/C(C)=C/C
91,CCOC(=O)c1cc2c(ccc3nc(SC)c(C=P(c4ccccc4)(c4ccccc4)c4ccccc4)cc32)s1
92,Cn1ncc([N+](=O)[O-])c1N1CCC(=O)[C@H](NC(=O)C(F)(F)F)CC1
93,CCCCCCC=C[C@H](CCC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
94,CC(=O)C1CC=CCC1
95,C[C@]1(C[C@@H]2O[C@H]2C=O)CO1
96,CCOC(=O)[C@]12CCCC1=CCCC2=O
97,O=Cc1c(Br)ccc2ccccc12
98,COC(=O)C(OC)=P(c1ccccc1)(c1ccccc1)c1ccccc1
99,C=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)CCCC
100,O=Cc1ccc2nccnc2c1
101,O=Cc1ccc(Cl)cc1N1CCc2ccccc2C1
102,O=Cc1cc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1
103,C=CCCCCCCCCC(C(=O)OC)=P(c1ccccc1)(c1ccccc1)c1ccccc1
104,CC(=O)O[C@@H](CC/C=C/C=O)C1=C[C@H]2OC(C)(C)O[C@H]2O1
105,COc1ccc2cc(C=O)c(=O)[nH]c2c1
106,COCO[C@H](C)C[C@@H](CCC=O)OCc1ccccc1
107,O=C1c2cc(-c3cccc4ccccc34)ccc2-c2ccc(-c3cccc4ccccc34)cc21
108,CC(NC(=O)C[C@H]1C[C@@H](C=O)OC(C)(C)O1)c1ccccc1
109,COc1cccc(C=O)c1-c1c(COC2CCCCO2)cccc1OC
110,COc1cccc(CC(CCCO[Si](C)(C)C(C)(C)C)C(=O)c2ccccc2)c1
111,CCC(=O)Nc1ccccc1C(=O)C(F)F
112,COc1cc(C=O)c(Br)cc1C(C)(C)C
113,CC(C)Oc1cc2ccccc2c(OC(C)C)c1C=O
114,C=C[C@H](Oc1ccc(OC)cc1)[C@@]1(C=O)CO[C@H](C(C)(C)C)N1C(=O)OC(C)(C)C
115,CC(C)(C)[Si](C)(C)O[C@H](C/C=C\CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)CCC=O
116,O=CCCCc1cc2c(cc1O)OCO2
117,Cc1cn([C@H]2OC[C@H]3OC(C)(C)O[C@H]3C2=O)c(=O)[nH]c1=O
118,CC(C)(C)[Si](C)(C)OCCC[C@@H]1O[C@@]1(C)C=O
119,CC1(C)OC[C@H]([C@H]2[C@@H](C=O)N2Cc2ccccc2)O1
120,COc1ccc(C(=O)CCC=C(C)C)cc1OC
121,CCCCN(CCCC)c1ccc(N(c2ccc(C=O)cc2)c2ccc(N(CCCC)CCCC)cc2)cc1
122,COc1cccc(C(=O)[C@@H](C)CN(C)C)c1
123,C/C(C=O)=C\C[C@@H]1O[C@H](C)[C@H](NC(=O)/C=C\[C@H](C)OC(=O)N2CCOCC2)C[C@@H]1C
124,CC(C)(C)[Si](C)(C)O[C@H]1C=C[C@H](CC=O)C1
125,O=CCNC(=O)OCc1ccccc1
126,CCOC(=O)CCCCCCCCCCCCC=O
127,O=C1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1
128,CC(=O)CC[C@H]1C(C)(C)[C@H]2CC[C@]1(CO)O2
129,COc1ccc2c(c1)[C@@H](CC=O)[C@@]1(C(=O)N(C(=O)OC(C)(C)C)c3ccccc31)[C@H](c1ccc([N+](=O)[O-])cc1)O2
130,CCOC(=O)COc1c(C)cccc1C=O
131,CC1(C)O[C@H]2O[C@H](C=O)[C@]3(C[C@@H]4CC[C@@H](O)[C@@H]43)[C@H]2O1
132,CC(=O)/C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C
133,O=Cc1cccc(-c2cccc(Cl)c2)c1
134,O=CCCNC(=O)OCc1ccccc1
135,CC1(C)OC[C@H]2O[C@H]3C[C@H]3C(=O)[C@@H]2O1
136,CC(=O)CCCC(=O)O
137,COc1cc(Br)cc(C=O)c1
138,COc1ccc(COCCC=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
139,C[C@@H](CCCC(C)(C)O)[C@H]1CC[C@H]2C(=O)CCC[C@]12C
140,COc1ccc(CO[C@@H](C)[C@@H](C=O)OC(=O)c2ccccc2)cc1
141,CC(C)(C)[Si](C)(C)Oc1cccc2cnc(C=O)nc12
142,O=C[C@H](SCc1ccccc1)[C@@H](c1ccccc1)N1C(=O)CCC1=O
143,O=Cc1ccc(-c2ccc(Cl)c(C(=O)O)c2)[nH]1
144,O=CC1(c2ccccc2)COC2(CCCCCCCCCCC2)OO1
145,O=CC(=O)c1ccccc1
146,O=C/C=C/OCc1ccccc1
147,CCOC=P(c1ccccc1)(c1ccccc1)c1ccccc1
